name,sids,county,state,elev,climdiv,uid,longitude,latitude,date,avgt
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-01,18.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-02,22.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-03,18.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-04,16.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-05,-2.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-06,-1.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-07,-0.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-08,23.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-09,30.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-10,31.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-11,32.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-12,21.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-13,14.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-14,16.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-15,18.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-16,18.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-17,16.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-18,27.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-19,31.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-20,33.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-21,30.0
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-22,31.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-23,26.5
CHILOQUIN 12 NW (FORT KLAMATH),"{'COOP': '351574', 'GHCN': 'USC00351574', 'NWSLI': 'CHQO3'}",41035,OR,4180.0,OR07,14962,-121.9952,42.7036,2017-01-24,15.5
